2022-06-18T10:51:52.8825392 403 : [{"timestamp":"2022-06-18T14:51:52.772+00:00","status":403,"error":"Forbidden","message":"Access is denied","path":"/account/2001/balance"}]
2022-06-18T10:52:42.6375078 403 : [{"timestamp":"2022-06-18T14:52:42.572+00:00","status":403,"error":"Forbidden","message":"Access is denied","path":"/account/2002/balance"}]
2022-06-18T10:52:48.8529799 403 : [{"timestamp":"2022-06-18T14:52:48.849+00:00","status":403,"error":"Forbidden","message":"Access is denied","path":"/users"}]
2022-06-18T10:53:04.106544 403 : [{"timestamp":"2022-06-18T14:53:04.101+00:00","status":403,"error":"Forbidden","message":"Access is denied","path":"/account/2002/balance"}]
2022-06-18T10:53:10.0637369 500 : [{"timestamp":"2022-06-18T14:53:10.055+00:00","status":500,"error":"Internal Server Error","message":"No default constructor for entity:  : com.techelevator.tenmo.model.TransferStatus; nested exception is org.hibernate.InstantiationException: No default constructor for entity:  : com.techelevator.tenmo.model.TransferStatus","path":"/transfer/account/2002"}]
2022-06-18T10:56:45.1188635 403 : [{"timestamp":"2022-06-18T14:56:45.075+00:00","status":403,"error":"Forbidden","message":"Access is denied","path":"/account/2002/balance"}]
2022-06-18T10:58:01.946233 500 : [{"timestamp":"2022-06-18T14:58:01.881+00:00","status":500,"error":"Internal Server Error","message":"No default constructor for entity:  : com.techelevator.tenmo.model.TransferStatus; nested exception is org.hibernate.InstantiationException: No default constructor for entity:  : com.techelevator.tenmo.model.TransferStatus","path":"/transfer/account/2002"}]
2022-06-18T10:58:40.6602261 500 : [{"timestamp":"2022-06-18T14:58:40.657+00:00","status":500,"error":"Internal Server Error","message":"No default constructor for entity:  : com.techelevator.tenmo.model.TransferStatus; nested exception is org.hibernate.InstantiationException: No default constructor for entity:  : com.techelevator.tenmo.model.TransferStatus","path":"/transfer/account/2002"}]
2022-06-18T11:33:23.6503237 500 : [{"timestamp":"2022-06-18T15:33:23.598+00:00","status":500,"error":"Internal Server Error","message":"No default constructor for entity:  : com.techelevator.tenmo.model.TransferStatus; nested exception is org.hibernate.InstantiationException: No default constructor for entity:  : com.techelevator.tenmo.model.TransferStatus","path":"/transfer/account/2002"}]
2022-06-18T11:35:21.7683158 500 : [{"timestamp":"2022-06-18T15:35:21.719+00:00","status":500,"error":"Internal Server Error","message":"No default constructor for entity:  : com.techelevator.tenmo.model.TransferStatus; nested exception is org.hibernate.InstantiationException: No default constructor for entity:  : com.techelevator.tenmo.model.TransferStatus","path":"/transfer/account/2002"}]
2022-06-18T11:35:46.8453917 500 : [{"timestamp":"2022-06-18T15:35:46.840+00:00","status":500,"error":"Internal Server Error","message":"No default constructor for entity:  : com.techelevator.tenmo.model.TransferStatus; nested exception is org.hibernate.InstantiationException: No default constructor for entity:  : com.techelevator.tenmo.model.TransferStatus","path":"/transfer/account/2002"}]
2022-06-18T12:03:53.1865318 500 : [{"timestamp":"2022-06-18T16:03:53.088+00:00","status":500,"error":"Internal Server Error","message":"Cannot invoke \"com.techelevator.tenmo.model.User.setAuthorities(String)\" because \"user\" is null","path":"/login"}]
2022-06-18T12:04:07.687501 500 : [{"timestamp":"2022-06-18T16:04:07.683+00:00","status":500,"error":"Internal Server Error","message":"No default constructor for entity:  : com.techelevator.tenmo.model.TransferStatus; nested exception is org.hibernate.InstantiationException: No default constructor for entity:  : com.techelevator.tenmo.model.TransferStatus","path":"/transfer/account/2002"}]
2022-06-18T12:04:21.1945938 500 : [{"timestamp":"2022-06-18T16:04:21.190+00:00","status":500,"error":"Internal Server Error","message":"could not execute statement; SQL [n/a]; constraint [fk_transfer_transfer_status]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement","path":"/transfer/send"}]
2022-06-18T12:04:25.7515234 500 : [{"timestamp":"2022-06-18T16:04:25.748+00:00","status":500,"error":"Internal Server Error","message":"No default constructor for entity:  : com.techelevator.tenmo.model.TransferStatus; nested exception is org.hibernate.InstantiationException: No default constructor for entity:  : com.techelevator.tenmo.model.TransferStatus","path":"/transfer/account/2002"}]
2022-06-18T12:04:49.0632385 500 : [{"timestamp":"2022-06-18T16:04:49.059+00:00","status":500,"error":"Internal Server Error","message":"could not execute statement; SQL [n/a]; constraint [fk_transfer_transfer_status]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement","path":"/transfer/request"}]
2022-06-18T13:19:51.9053312 500 : [{"timestamp":"2022-06-18T17:19:51.888+00:00","status":500,"error":"Internal Server Error","message":"could not extract ResultSet; SQL [n/a]; nested exception is org.hibernate.exception.SQLGrammarException: could not extract ResultSet","path":"/transfer/account/2001"}]
2022-06-18T13:37:36.299664 500 : [{"timestamp":"2022-06-18T17:37:36.285+00:00","status":500,"error":"Internal Server Error","message":"could not execute statement; SQL [n/a]; nested exception is org.hibernate.exception.SQLGrammarException: could not execute statement","path":"/transfer/send"}]
2022-06-18T13:42:45.9806647 500 : [{"timestamp":"2022-06-18T17:42:45.966+00:00","status":500,"error":"Internal Server Error","message":"could not execute statement; SQL [n/a]; nested exception is org.hibernate.exception.SQLGrammarException: could not execute statement","path":"/transfer/send"}]
2022-06-18T14:00:40.8237771 500 : [{"timestamp":"2022-06-18T18:00:40.809+00:00","status":500,"error":"Internal Server Error","message":"could not execute statement; SQL [n/a]; nested exception is org.hibernate.exception.DataException: could not execute statement","path":"/transfer/send"}]
